accx,accy,accz,gx,gy,gz,g,ax,ay,az,a
-10.18,0.04,0.12,-10.14,-0.1,-0.27,10.14,-0.04,0.13,0.39,0.42
-10.3,0.16,-0.19,-10.17,-0.04,-0.26,10.17,-0.13,0.2,0.06,0.25
-9.94,0.12,-0.7,-10.13,-0.01,-0.35,10.13,0.18,0.13,-0.35,0.42
-9.91,0.04,0.04,-10.08,0,-0.27,10.09,0.18,0.04,0.31,0.36
-10.02,0.23,-0.43,-10.07,0.05,-0.3,10.07,0.05,0.19,-0.13,0.23
-10.22,0.16,-0.55,-10.1,0.07,-0.35,10.11,-0.12,0.09,-0.2,0.25
-10.02,-0.04,-0.82,-10.08,0.05,-0.44,10.09,0.06,-0.08,-0.37,0.39
-10.37,0.12,-1.25,-10.14,0.06,-0.6,10.16,-0.23,0.06,-0.64,0.69
-9.79,-0.04,-1.29,-10.07,0.04,-0.74,10.1,0.28,-0.08,-0.55,0.62
-9.91,0.27,-1.79,-10.04,0.09,-0.95,10.08,0.13,0.19,-0.84,0.87
-10.22,0.08,-0.58,-10.07,0.09,-0.88,10.11,-0.14,-0.01,0.29,0.33
-10.06,-0.19,-0.35,-10.07,0.03,-0.77,10.1,0.01,-0.22,0.42,0.48
-10.37,0.04,-0.66,-10.13,0.03,-0.75,10.16,-0.24,0.01,0.09,0.26
-9.98,-0.04,0,-10.1,0.02,-0.6,10.12,0.12,-0.06,0.6,0.61
-10.26,0.04,-0.12,-10.13,0.02,-0.5,10.15,-0.12,0.02,0.39,0.41
-10.06,0.12,-0.43,-10.12,0.04,-0.49,10.13,0.06,0.08,0.06,0.11
-10.18,0.19,-0.47,-10.13,0.07,-0.48,10.14,-0.05,0.12,0.02,0.13
-10.22,0.08,-0.27,-10.15,0.07,-0.44,10.16,-0.07,0.01,0.17,0.18
-9.94,0.23,-0.43,-10.11,0.11,-0.44,10.12,0.16,0.13,0.01,0.21
-9.98,0.35,-0.16,-10.08,0.15,-0.38,10.09,0.1,0.2,0.23,0.32
-10.06,0.43,-0.43,-10.08,0.21,-0.39,10.09,0.02,0.22,-0.04,0.22
-10.06,0.12,-0.43,-10.08,0.19,-0.4,10.09,0.01,-0.07,-0.03,0.08
-10.02,0.27,-0.9,-10.06,0.21,-0.5,10.08,0.04,0.07,-0.4,0.41
-9.94,0.39,-0.35,-10.04,0.24,-0.47,10.05,0.1,0.15,0.12,0.21
-10.22,0.31,-0.7,-10.08,0.26,-0.52,10.09,-0.14,0.05,-0.19,0.24
-10.06,0.35,-0.31,-10.07,0.28,-0.48,10.09,0.01,0.07,0.16,0.18
-9.98,0.12,0.08,-10.06,0.24,-0.36,10.07,0.07,-0.13,0.44,0.47
-9.98,0.23,-0.74,-10.04,0.24,-0.44,10.05,0.06,-0.01,-0.3,0.31
-9.94,0.27,-0.08,-10.02,0.25,-0.37,10.03,0.08,0.02,0.29,0.3
-10.26,0.23,-0.86,-10.07,0.25,-0.47,10.08,-0.19,-0.01,-0.39,0.44
-10.18,0.23,-0.35,-10.09,0.24,-0.44,10.1,-0.09,-0.01,0.09,0.13
-9.87,0.08,-0.19,-10.05,0.21,-0.39,10.06,0.18,-0.13,0.2,0.3
-10.02,0.19,-0.31,-10.04,0.21,-0.38,10.05,0.02,-0.01,0.06,0.07
-10.14,0.27,-0.27,-10.06,0.22,-0.36,10.07,-0.08,0.05,0.08,0.13
-10.06,0.19,-0.7,-10.06,0.22,-0.43,10.07,0,-0.02,-0.28,0.28
-10.02,0.08,-0.19,-10.05,0.19,-0.38,10.06,0.03,-0.11,0.18,0.22
-9.91,0.31,-0.43,-10.02,0.21,-0.39,10.03,0.12,0.1,-0.04,0.16
-10.53,0.23,-0.43,-10.13,0.22,-0.4,10.14,-0.4,0.02,-0.03,0.41
-9.79,0,-0.35,-10.06,0.17,-0.39,10.07,0.27,-0.17,0.04,0.32
-10.06,0.27,-1.13,-10.06,0.19,-0.54,10.08,0,0.08,-0.59,0.6
-10.1,0.12,-0.27,-10.07,0.18,-0.48,10.08,-0.03,-0.06,0.21,0.22
-9.98,0.31,-0.35,-10.05,0.2,-0.46,10.06,0.07,0.11,0.11,0.16
-10.06,0.27,-0.62,-10.05,0.22,-0.49,10.07,-0.01,0.05,-0.13,0.14
-10.22,0.23,-0.47,-10.09,0.22,-0.49,10.1,-0.13,0.01,0.02,0.13
-9.98,0.27,-0.98,-10.07,0.23,-0.58,10.09,0.08,0.04,-0.39,0.4
-9.98,0.35,-1.72,-10.05,0.26,-0.81,10.09,0.07,0.1,-0.91,0.91
-10.3,-0.08,-1.48,-10.1,0.19,-0.94,10.14,-0.2,-0.27,-0.54,0.63
-10.26,0.08,-1.21,-10.13,0.17,-1,10.18,-0.13,-0.09,-0.21,0.26
-9.79,0.23,-1.25,-10.06,0.18,-1.05,10.12,0.27,0.05,-0.2,0.34
-9.91,0.23,-0.7,-10.03,0.19,-0.98,10.08,0.12,0.04,0.28,0.31
-10.41,0.39,-0.27,-10.11,0.23,-0.84,10.14,-0.31,0.16,0.56,0.66
-9.98,0.39,-0.19,-10.08,0.26,-0.71,10.11,0.1,0.13,0.51,0.54
-9.91,0.31,-0.55,-10.05,0.27,-0.68,10.07,0.14,0.04,0.13,0.2
-10.41,0.19,-0.55,-10.12,0.26,-0.65,10.14,-0.29,-0.06,0.1,0.32
-10.06,0.23,-0.43,-10.11,0.25,-0.61,10.13,0.05,-0.02,0.18,0.18
-9.67,0.31,-0.47,-10.02,0.26,-0.58,10.04,0.35,0.05,0.11,0.37
-10.18,0.19,-0.74,-10.05,0.25,-0.61,10.07,-0.13,-0.06,-0.13,0.19
-10.37,0.19,-0.08,-10.12,0.24,-0.5,10.13,-0.26,-0.04,0.43,0.5
-9.94,0.47,-0.7,-10.08,0.29,-0.54,10.1,0.14,0.18,-0.16,0.28
-10.02,0,-0.98,-10.07,0.23,-0.63,10.09,0.05,-0.23,-0.34,0.42
-10.06,-0.04,-0.86,-10.07,0.17,-0.68,10.09,0.01,-0.21,-0.18,0.28
-10.45,0.04,-1.48,-10.15,0.15,-0.84,10.18,-0.31,-0.11,-0.65,0.72
-9.71,0.08,-1.64,-10.06,0.13,-1,10.11,0.35,-0.06,-0.64,0.73
-9.91,0.27,-1.01,-10.03,0.16,-1,10.08,0.12,0.11,-0.01,0.17
-10.37,0.27,-0.35,-10.1,0.18,-0.87,10.14,-0.28,0.09,0.52,0.6
-10.14,0,-0.66,-10.11,0.15,-0.83,10.14,-0.03,-0.15,0.17,0.22
-9.83,0.19,-0.51,-10.05,0.16,-0.76,10.08,0.22,0.04,0.26,0.34
-9.83,0.31,-0.62,-10.01,0.19,-0.74,10.03,0.18,0.12,0.11,0.24
-10.14,0.39,-0.35,-10.03,0.23,-0.66,10.06,-0.11,0.16,0.31,0.36
-10.02,0.51,-1.91,-10.03,0.28,-0.91,10.08,0.01,0.22,-1,1.03
-9.75,0.51,-1.37,-9.97,0.33,-1,10.03,0.22,0.18,-0.36,0.46
-10.3,0.19,-1.72,-10.04,0.3,-1.14,10.11,-0.26,-0.11,-0.57,0.64
-9.94,0,-0.7,-10.02,0.24,-1.06,10.08,0.08,-0.24,0.35,0.43
-9.94,0.19,-1.25,-10.01,0.23,-1.09,10.07,0.06,-0.04,-0.15,0.17
-10.49,0.47,-1.68,-10.1,0.28,-1.21,10.18,-0.39,0.19,-0.47,0.64
-10.06,0.35,-1.01,-10.09,0.29,-1.17,10.17,0.03,0.06,0.16,0.17
-11.23,1.13,-0.7,-10.32,0.46,-1.08,10.39,-0.91,0.67,0.38,1.19
-9.87,0.12,-0.27,-10.23,0.39,-0.92,10.28,0.36,-0.28,0.64,0.79
-9.67,0.08,-0.43,-10.12,0.33,-0.82,10.16,0.45,-0.25,0.39,0.64
-10.3,0.39,-0.39,-10.15,0.34,-0.73,10.19,-0.14,0.05,0.34,0.37
-10.41,0.23,-0.55,-10.21,0.32,-0.7,10.23,-0.21,-0.09,0.15,0.27
-9.91,0.35,-0.31,-10.15,0.33,-0.62,10.17,0.24,0.02,0.31,0.39
-9.32,0.7,-0.43,-9.98,0.4,-0.58,10.01,0.66,0.3,0.15,0.74
-10.53,0.55,-0.23,-10.09,0.43,-0.51,10.11,-0.44,0.12,0.28,0.53
-10.41,0.23,-0.35,-10.16,0.39,-0.48,10.17,-0.26,-0.16,0.13,0.33
-9.63,0.19,-0.27,-10.05,0.35,-0.44,10.07,0.42,-0.16,0.17,0.48
-10.22,0.39,-0.51,-10.08,0.36,-0.45,10.1,-0.13,0.03,-0.06,0.15
-10.26,0.31,0.23,-10.12,0.35,-0.31,10.13,-0.14,-0.04,0.55,0.57
-9.75,0.62,-0.39,-10.05,0.4,-0.33,10.06,0.3,0.22,-0.06,0.37
-10.34,0.31,-0.31,-10.1,0.39,-0.33,10.12,-0.23,-0.07,0.01,0.24
-10.26,0.47,-0.31,-10.13,0.4,-0.32,10.15,-0.12,0.07,0.01,0.14
-9.63,0.31,-0.27,-10.03,0.38,-0.31,10.05,0.4,-0.07,0.04,0.41
-10.22,0.74,-0.7,-10.07,0.46,-0.39,10.09,-0.15,0.29,-0.31,0.45
-9.83,0.23,-0.27,-10.02,0.41,-0.37,10.04,0.19,-0.18,0.09,0.28
-10.02,0.04,-1.05,-10.02,0.34,-0.5,10.04,0,-0.3,-0.55,0.62
-10.22,0.23,-1.48,-10.06,0.32,-0.7,10.09,-0.16,-0.08,-0.78,0.8
-10.1,0.31,-1.09,-10.07,0.32,-0.78,10.1,-0.03,0,-0.31,0.32
-9.91,0.62,-2.11,-10.04,0.38,-1.04,10.1,0.13,0.25,-1.06,1.1
-10.06,0.58,-1.91,-10.04,0.42,-1.22,10.12,-0.02,0.17,-0.69,0.71
-9.94,0.47,-1.44,-10.02,0.43,-1.26,10.11,0.08,0.04,-0.18,0.2
-10.37,0.04,-1.29,-10.09,0.35,-1.27,10.18,-0.28,-0.31,-0.02,0.42
-9.94,0.39,-1.6,-10.06,0.36,-1.33,10.16,0.12,0.03,-0.27,0.29
-10.1,0.23,-0.86,-10.07,0.33,-1.24,10.15,-0.03,-0.1,0.38,0.39
-10.22,0.35,-0.58,-10.1,0.34,-1.11,10.17,-0.12,0.01,0.52,0.54
-9.98,0.35,-0.39,-10.08,0.34,-0.96,10.13,0.09,0.01,0.57,0.58
-10.06,0.31,-0.23,-10.07,0.33,-0.82,10.11,0.01,-0.02,0.58,0.58
-10.18,0.16,0.04,-10.09,0.3,-0.65,10.12,-0.08,-0.14,0.69,0.71
-9.94,0.74,-0.12,-10.06,0.39,-0.54,10.09,0.12,0.35,0.42,0.57
-9.91,0.51,-0.43,-10.03,0.41,-0.52,10.05,0.13,0.1,0.09,0.18
-10.18,0.39,-0.19,-10.06,0.41,-0.45,10.08,-0.12,-0.02,0.26,0.28
-10.02,0.23,0.27,-10.05,0.37,-0.31,10.07,0.03,-0.14,0.58,0.6
-10.45,0.51,0.74,-10.13,0.4,-0.1,10.14,-0.32,0.11,0.84,0.9
-9.75,0.51,0.55,-10.06,0.42,0.03,10.07,0.31,0.09,0.52,0.61
-9.94,0.35,0.19,-10.03,0.41,0.06,10.04,0.09,-0.06,0.13,0.17
-10.18,0.31,0.04,-10.06,0.39,0.06,10.07,-0.12,-0.08,-0.02,0.14
-10.18,0.31,-0.12,-10.09,0.37,0.02,10.09,-0.09,-0.06,-0.14,0.18
-9.87,0.19,-0.35,-10.04,0.34,-0.05,10.05,0.18,-0.14,-0.3,0.38
-10.14,0.47,-0.19,-10.06,0.36,-0.08,10.07,-0.08,0.1,-0.11,0.17
-10.3,0.19,-0.7,-10.11,0.33,-0.2,10.12,-0.19,-0.13,-0.5,0.55
-9.75,0.16,-0.9,-10.04,0.29,-0.34,10.05,0.29,-0.14,-0.55,0.64
-10.14,0.31,-0.86,-10.06,0.3,-0.45,10.07,-0.08,0.01,-0.41,0.42
-10.1,0.27,-1.4,-10.07,0.29,-0.64,10.09,-0.03,-0.02,-0.77,0.77
-10.02,0.39,-1.95,-10.06,0.31,-0.9,10.1,0.03,0.08,-1.05,1.05
-10.02,-0.04,-1.25,-10.05,0.24,-0.97,10.1,0.03,-0.28,-0.28,0.4
-10.18,0.35,-1.17,-10.08,0.26,-1.01,10.13,-0.1,0.09,-0.16,0.21
-10.1,0.27,-1.52,-10.08,0.27,-1.11,10.15,-0.02,0.01,-0.41,0.41
-10.18,0.35,-1.64,-10.1,0.28,-1.22,10.18,-0.08,0.07,-0.42,0.43
-9.83,0.35,-2.34,-10.05,0.3,-1.44,10.15,0.22,0.05,-0.9,0.93
-10.14,0.47,-1.25,-10.07,0.33,-1.4,10.17,-0.07,0.14,0.16,0.22
-10.26,0.35,-1.83,-10.1,0.33,-1.49,10.22,-0.15,0.02,-0.34,0.38
-9.79,0.08,0.16,-10.04,0.28,-1.16,10.11,0.25,-0.21,1.32,1.36
-10.41,0.74,-0.86,-10.12,0.37,-1.1,10.18,-0.3,0.37,0.24,0.53
-9.98,0.23,-0.31,-10.09,0.35,-0.94,10.14,0.1,-0.11,0.63,0.65
-9.79,0.35,-0.19,-10.03,0.35,-0.79,10.07,0.24,0,0.6,0.64
-10.06,0.55,-0.04,-10.04,0.39,-0.64,10.06,-0.03,0.16,0.6,0.62
-10.1,0.39,0.16,-10.05,0.39,-0.48,10.07,-0.05,0,0.64,0.64
-10.06,0.43,-0.27,-10.05,0.4,-0.44,10.07,-0.01,0.03,0.17,0.17
-9.56,0.31,0.47,-9.95,0.38,-0.26,9.96,0.4,-0.07,0.73,0.83
-10.69,0.35,0.08,-10.1,0.37,-0.19,10.11,-0.59,-0.02,0.27,0.65
-10.06,0.27,0.23,-10.09,0.35,-0.11,10.1,0.03,-0.08,0.34,0.35
-9.79,0.27,-0.62,-10.03,0.34,-0.21,10.04,0.24,-0.06,-0.41,0.48
-10.26,0.27,0,-10.08,0.32,-0.17,10.08,-0.18,-0.05,0.17,0.25
-10.06,0.35,0.12,-10.07,0.33,-0.11,10.08,0.01,0.02,0.23,0.23
-9.91,0.55,-0.12,-10.04,0.37,-0.11,10.05,0.13,0.17,0,0.22
-10.1,0.19,-0.39,-10.05,0.34,-0.17,10.06,-0.05,-0.14,-0.22,0.27
-10.34,0.31,-0.19,-10.11,0.33,-0.17,10.12,-0.23,-0.02,-0.02,0.23
-9.94,0.31,-0.27,-10.08,0.33,-0.19,10.08,0.13,-0.02,-0.08,0.15
-10.45,0.47,-0.51,-10.15,0.36,-0.26,10.16,-0.3,0.11,-0.25,0.41
-9.94,0.23,-0.9,-10.11,0.33,-0.38,10.12,0.16,-0.1,-0.51,0.55
-9.71,0.58,-1.09,-10.03,0.38,-0.53,10.05,0.32,0.2,-0.57,0.68
-10.49,0.23,-0.47,-10.12,0.35,-0.51,10.14,-0.37,-0.12,0.05,0.39
-10.22,0.31,-0.74,-10.14,0.34,-0.56,10.16,-0.08,-0.03,-0.18,0.2
-9.87,0.62,-1.25,-10.09,0.4,-0.7,10.12,0.22,0.22,-0.55,0.63
-10.34,0.55,-2.26,-10.14,0.43,-1.01,10.2,-0.2,0.12,-1.25,1.27
-10.1,0.35,-1.44,-10.13,0.41,-1.1,10.2,0.03,-0.06,-0.35,0.35
-10.22,0.16,-0.39,-10.15,0.36,-0.96,10.2,-0.07,-0.21,0.57,0.61
-10.45,0.16,-0.35,-10.21,0.32,-0.83,10.25,-0.24,-0.17,0.48,0.57
-9.75,0.23,-0.78,-10.12,0.3,-0.82,10.15,0.37,-0.07,0.04,0.38
-9.98,0.51,-1.68,-10.09,0.34,-0.99,10.14,0.11,0.16,-0.68,0.71
-10.02,0.23,-0.62,-10.08,0.32,-0.92,10.12,0.05,-0.09,0.3,0.31
-10.57,0.04,-1.83,-10.18,0.27,-1.1,10.24,-0.39,-0.23,-0.73,0.86
-10.26,-0.62,-2.57,-10.19,0.09,-1.4,10.29,-0.07,-0.71,-1.18,1.38
-9.94,-0.86,-0.78,-10.14,-0.1,-1.27,10.22,0.2,-0.76,0.49,0.92
-10.18,-0.66,-0.98,-10.15,-0.21,-1.21,10.22,-0.03,-0.45,0.24,0.51
-9.83,-1.01,0.31,-10.09,-0.37,-0.91,10.13,0.26,-0.64,1.22,1.4
-10.1,-1.33,-0.58,-10.09,-0.56,-0.84,10.14,-0.01,-0.76,0.26,0.8
-10.8,-1.4,-1.13,-10.23,-0.73,-0.9,10.3,-0.57,-0.67,-0.23,0.91
-10.61,-1.17,-2.26,-10.31,-0.82,-1.17,10.41,-0.3,-0.35,-1.09,1.18
-9.94,-0.74,-1.4,-10.23,-0.8,-1.22,10.34,0.29,0.06,-0.18,0.35
-10.1,-0.27,-0.58,-10.21,-0.7,-1.09,10.29,0.11,0.42,0.51,0.67
-10.49,0.78,-1.6,-10.26,-0.4,-1.19,10.34,-0.23,1.18,-0.41,1.27
-9.63,1.79,-1.01,-10.14,0.04,-1.16,10.2,0.51,1.76,0.14,1.83
-10.49,2.54,-2.26,-10.21,0.54,-1.38,10.32,-0.28,2,-0.88,2.2
-8.85,1.91,-1.91,-9.94,0.81,-1.49,10.08,1.08,1.1,-0.43,1.6
-10.26,2.03,-1.29,-10,1.05,-1.45,10.16,-0.26,0.97,0.16,1.02
-9.09,1.83,-1.29,-9.82,1.21,-1.41,9.99,0.73,0.62,0.13,0.97
-10.06,1.44,-2.22,-9.87,1.26,-1.58,10.07,-0.19,0.19,-0.65,0.7
-10.22,1.95,-1.68,-9.94,1.4,-1.6,10.16,-0.28,0.55,-0.08,0.63
-11.51,2.03,-0.74,-10.25,1.52,-1.42,10.46,-1.25,0.51,0.68,1.52
-9.79,1.68,-1.13,-10.16,1.55,-1.37,10.37,0.37,0.12,0.24,0.46
-8.7,1.05,0.31,-9.87,1.45,-1.03,10.03,1.17,-0.4,1.34,1.82
-11.86,2.69,0.31,-10.26,1.7,-0.76,10.43,-1.59,0.99,1.07,2.16
-10.3,1.44,-0.78,-10.27,1.65,-0.77,10.43,-0.03,-0.21,-0.01,0.21
-8.74,0.94,-0.31,-9.96,1.51,-0.67,10.1,1.23,-0.57,0.36,1.4
-11.43,1.17,0.43,-10.26,1.44,-0.45,10.37,-1.17,-0.27,0.88,1.49
-9.87,0.82,0,-10.18,1.32,-0.36,10.27,0.31,-0.5,0.36,0.69
-9.28,1.05,0.58,-10,1.26,-0.17,10.08,0.72,-0.21,0.76,1.06
-9.94,0.7,0.55,-9.99,1.15,-0.03,10.05,0.04,-0.45,0.58,0.73
-10.53,1.87,1.05,-10.1,1.29,0.19,10.18,-0.43,0.58,0.87,1.13
-10.69,0.98,1.68,-10.21,1.23,0.48,10.3,-0.47,-0.26,1.19,1.31
-9.4,1.4,1.25,-10.05,1.27,0.64,10.15,0.65,0.14,0.61,0.9
-10.53,0.74,1.48,-10.15,1.16,0.81,10.25,-0.38,-0.42,0.68,0.88
-9.56,1.29,1.52,-10.03,1.19,0.95,10.14,0.47,0.1,0.57,0.75
-10.14,0.7,1.52,-10.05,1.09,1.06,10.17,-0.09,-0.39,0.46,0.61
-10.14,0.9,1.4,-10.07,1.05,1.13,10.19,-0.07,-0.15,0.27,0.32
-10.02,0.62,1.56,-10.06,0.97,1.22,10.18,0.04,-0.34,0.34,0.49
-9.83,0.74,1.44,-10.01,0.92,1.26,10.13,0.19,-0.18,0.18,0.31
-10.06,0.78,1.52,-10.02,0.89,1.31,10.15,-0.04,-0.11,0.21,0.24
-10.41,0.43,0.62,-10.1,0.8,1.18,10.2,-0.31,-0.37,-0.55,0.73
-9.63,0.43,0.47,-10.01,0.73,1.03,10.09,0.37,-0.3,-0.57,0.74
-9.87,0.43,0.51,-9.98,0.67,0.93,10.04,0.11,-0.24,-0.42,0.5
-10.45,0.86,0.74,-10.07,0.7,0.89,10.14,-0.38,0.15,-0.15,0.43
-9.98,0.16,0.78,-10.06,0.59,0.87,10.11,0.07,-0.44,-0.09,0.45
-10.06,0.43,0.43,-10.06,0.56,0.78,10.1,0,-0.13,-0.35,0.38
-10.37,0.19,0.55,-10.12,0.49,0.73,10.16,-0.25,-0.29,-0.19,0.43
-9.83,0.51,0.78,-10.06,0.49,0.74,10.1,0.23,0.01,0.04,0.24
-10.06,0.47,0.23,-10.06,0.49,0.64,10.09,0,-0.02,-0.41,0.41
-9.94,0.23,0.43,-10.04,0.44,0.6,10.07,0.09,-0.2,-0.17,0.28
-10.06,0.31,0,-10.04,0.41,0.48,10.06,-0.02,-0.1,-0.48,0.49
-10.22,0.31,-0.16,-10.08,0.39,0.35,10.09,-0.14,-0.08,-0.51,0.53
-9.79,0.62,-0.39,-10.02,0.44,0.2,10.03,0.23,0.19,-0.59,0.66
-9.94,0.35,-0.39,-10.01,0.42,0.08,10.01,0.06,-0.07,-0.47,0.48
-10.3,0.19,-0.19,-10.06,0.38,0.03,10.07,-0.23,-0.18,-0.22,0.37
-10.06,0.47,-0.16,-10.06,0.39,-0.01,10.07,0,0.07,-0.15,0.17
-9.91,0.31,-0.31,-10.03,0.38,-0.07,10.04,0.13,-0.07,-0.24,0.28
-9.94,0.58,-0.27,-10.01,0.42,-0.11,10.02,0.07,0.17,-0.16,0.24
-9.98,0.62,-1.21,-10.01,0.46,-0.33,10.02,0.02,0.16,-0.88,0.89
-9.75,0.35,-0.82,-9.96,0.44,-0.43,9.98,0.21,-0.09,-0.39,0.45
-10.18,0.74,-0.86,-10,0.5,-0.51,10.03,-0.18,0.24,-0.34,0.46
-10.14,0.27,-0.86,-10.03,0.45,-0.58,10.06,-0.11,-0.18,-0.28,0.35
-10.22,0.55,-0.55,-10.07,0.47,-0.58,10.09,-0.15,0.07,0.03,0.17
-9.87,0.51,-0.98,-10.03,0.48,-0.66,10.06,0.16,0.03,-0.32,0.36
-10.06,0.16,-0.47,-10.03,0.41,-0.62,10.06,-0.03,-0.26,0.15,0.3
-10.06,0.47,-0.31,-10.04,0.43,-0.56,10.06,-0.02,0.04,0.24,0.25
-9.94,0.47,-1.21,-10.02,0.43,-0.69,10.05,0.08,0.03,-0.52,0.53
-10.18,0.55,-0.66,-10.05,0.46,-0.68,10.09,-0.13,0.09,0.02,0.16
-9.94,0.7,-0.74,-10.03,0.51,-0.69,10.07,0.09,0.2,-0.05,0.22
-9.94,0.31,-0.62,-10.01,0.47,-0.68,10.05,0.07,-0.15,0.06,0.18
-9.98,0.55,-0.98,-10.01,0.48,-0.74,10.05,0.02,0.06,-0.24,0.25
-9.94,0.31,-0.86,-10,0.45,-0.76,10.03,0.05,-0.14,-0.1,0.17
-10.14,0.55,-1.13,-10.02,0.47,-0.84,10.07,-0.12,0.08,-0.29,0.33
-10.02,0.23,-1.05,-10.02,0.42,-0.88,10.07,0,-0.19,-0.17,0.26
-10.06,0.7,-1.17,-10.03,0.48,-0.94,10.09,-0.03,0.22,-0.23,0.32
-9.75,0.51,-0.9,-9.98,0.48,-0.93,10.03,0.23,0.02,0.03,0.23
-10.41,0,-0.86,-10.06,0.39,-0.92,10.11,-0.35,-0.39,0.06,0.52
-10.34,-0.23,-1.56,-10.12,0.26,-1.04,10.17,-0.22,-0.5,-0.52,0.75
-10.3,-0.27,-0.9,-10.15,0.16,-1.01,10.2,-0.14,-0.43,0.12,0.47
-8.58,-0.12,-1.4,-9.84,0.1,-1.09,9.9,1.26,-0.22,-0.31,1.31
-10.49,-0.31,-1.87,-9.97,0.02,-1.25,10.05,-0.52,-0.33,-0.62,0.88
-10.45,-1.21,-2.46,-10.07,-0.23,-1.49,10.18,-0.39,-0.98,-0.97,1.43
-9.67,-0.7,-1.48,-9.99,-0.32,-1.49,10.1,0.31,-0.38,0.01,0.49
-10.37,-0.7,-1.56,-10.06,-0.4,-1.5,10.18,-0.31,-0.3,-0.06,0.44
-10.22,-0.51,-1.72,-10.1,-0.42,-1.55,10.22,-0.12,-0.09,-0.17,0.23
